0
UNITED STATES SECURITIES AND EXCHANGE 
Insclear AB 
ADP CANADA COMPANY 
ABDUL GAFFAR 
FORT BONIFACIO DEVELOPMENT CORPORATION 
E-I Interior Design AB 
ARCHIPELAGO EXCHANGE 
EQUINIX INC  
SjÃ¤lvregleringen i Sverige Service AB 
Fastpartner Frihamnen AB 
SAMEER GAFFAR 
EDGX EXCHANGE INC 
JT MAGEN & COMPANY INC 
VERIZON COMMUNICATIONS INDIA PRIVATE LTD 
SUHAIL SYED 
BATS EXCHANGE 
Fish Pool ASA 
CITADEL EXECUTION SERVICES 
MAXICARE HEALTHCARE CORP  
Amazon Web Services Inc  
SAFEERA GAFFAR 
Reliance Communications Ltd  
BATS Y-EXCHANGE 
Arion banki 
Hitachi Vantara AB 
MORGAN STANLEY & CO LLC 
GreiÃ°sluveitan ehf 
Digiplex Stockholm 1 AB 
WOLVERINE EXECUTION SERVICES LLC 
GLOBAL EXECUTION BROKERS 
GOLDMAN SACHS & CO LLC 
PLDT 
Colliers International (India) Property 
BESCOM 
SÃ­minn 
MARLABS SOFTWARE PRIVATE LIMITED 
Opin Kerfi ehf 
Telenor Sverige AB 
SJÃ“VÃ 
VIGNESH TRAVELS 
REIKNISTOFA BANKANNA 
NAVEEN SATTAR 
FARAH SATTAR 
SkÃ¸yen NÃ¦ringsbygg AS 
Bharti Airtel limited 
EDGA EXCHANGE INC  
Dotex International Limted 
EXPRESS SCRIPTS INC 
Tamaraw Security Service Inc  
EVERCORE GROUP LLC 
Ernst & Young AB 
Dell AB 
IEX Group Inc  
CITIGROUP GLOBAL MARKETS 
INTERACTIVE BROKERS LLC 
KÃ³Ã°i ehf 
MOHAMMED DASTAGIR 
VOYG TRANSPORT SERVICES INC  
Link Consulting 
TRI-Q RESPONSIBLE SERVICES INC  
CNBC 
WORKDAY INC 
G4S Secure Solutions (lndia) Private Lim 
Leanon 
MERRILL LYNCH PIERCE FENNER & SMITH INC 
FORT BONIFACIO DEVELOPMENT 
TeliaSonera Sverige AB 
CIGNA HEALTH AND LIFE INSURANCE COMPANY 
AON Hong Kong Limited 
Origo 
Ernst & Young ehf 
Quess Corp Limited 
Michael Page International 
Turner & Townsend AB 
Comnet i Danderyd AB 
Euroclear Sweden AB 
Reflex Arkitekter AB 
STATE STREET BANK AND TRUST COMPANY 
Dimension Data India Pvt Limited 
DASH FINANCIAL TECHNOLOGIES LLC 
CISCO SYSTEMS CAPITAL CORPORATION 
Dell International Services India PLtd 
Deloitte ehf 
Rg19 i Norden AB 
FjÃRMÃLAEFTIRLITIÃ 
ORACLE AMERICA INC  
WEST UNIFIED COMMUNICATIONS SERVICES INC 
TUNDRA TECHNICAL SOLUTIONS INDIA PRIVATE 
ERNST & YOUNG U S  LLP 
DOW JONES & COMPANY INC  
FACEBOOK INC  
NISHA GAFFAR 
SCALEARC 
Reitir III ehf 
Microsoft Corporation 
FOUR TIMES SQUARE ASSOC  LLC 
Tele2 Sverige AB 
National Labor Relations Commission 
FINRA 
MEDICARD PHILIPPINES INC  
ZAPCO 1500 INVESTMENT L P  
NYSE ARCA OPTIONS INC 
BUSINESS PROCESS OUTSOURCING 
TANGOE INC  
GOLDMAN SACHS EXECUTION & CLEARING LP 
MORGAN STANLEY ELECTRONIC TRADING 
COWEN EXECUTION SERVICES LLC 
ALVAREZ & MARSAL PRIVATE EQUITY 
BRANDYWINE OPERATING PARTNERSHIP L P  
NORTHERN TRUST COMPANY 
CLOUD CATERING 
Brokerway AB 
Mbrace AB 
AKAMAI TECHNOLOGIES INC  
Thomson Reuters (Markets) LLC 
SE KKEDC TANGEDCO NGL 
AprÃ­l Almannatengsl ehf 
Ryska Posten AB 
Colliers International Philippines Inc 
Swamy Motors 
Grand Hotel Stockholm 
Canon India Pvt Ltd 
Pelle Halling AB 
Piedmont Operating Partnership LP 
Riada AB 
AON RISK SERVICES NORTHEAST INC  
Ãrvakur hf  
Statens Innkrevingssentral 
OTIS Elevator Company India Ltd 
Sveriges Riksbank 
NASDAQ ENTREPRENEURIAL CENTER INC  
Energimyndigheten 
GIRLEY'S GRIL 
ZAYO GROUP HOLDINGS INC 
A  FONNESBECH A  S 
JYOTHI CATERERS 
UNISPACE OF BOSTON LLC 
BROADRIDGE ICS INC 
IMPERVA INC 
R A V Catering Service 
The Cake World 
Azets Insight AB 
EBPA LLC 
fiveÂ°degrees 
NYSE TECHNOLOGIES CONNECTIVITY INC  
Coromatic AB 
CANADIAN PRESS ENTERPRISES INC  
Jones Lang Lasalle (NSW) P  L 
CHUBB AND SON A DIVISION OF FEDERAL INS 
CHAIN INC 
advania 
Stockholm Spis AB 
Stanly Cabs 
JP MORGAN CLEARING CORP 
Ascent Consulting Services (Pvt) Ltd 
Ã–hrlings PricewaterhouseCoopers AB 
Aktiebolaget J A  Joleby 
THE PHILIPPINE AMERICAN LIFE AND GENERAL 
FACTSET RESEARCH SYSTEMS INC  
